hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
0, 1.00000, 2367.28, -2.78688, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9062, -86.9649
0, 2.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 3.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 4.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 5.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 6.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 7.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 8.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 9.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 10.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 11.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 12.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 13.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 14.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 15.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 16.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 17.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 18.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 19.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 20.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 21.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 22.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 23.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 24.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 25.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 26.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 27.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 28.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 29.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 30.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 31.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 32.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 33.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 34.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 35.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 36.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 37.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 38.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 39.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
0, 40.00000, 2367.28, -2.78691, 2431.16, -121.566, 2387.32, 118.146, 20.4883, 131.33, 13.5397, 22.841, 46.9069, -86.965
